date,author,author/_title,title,title/_title,title/_text,author/_text,pageUrl
"June 20, 2005",http://www.newyorker.com/contributors/j-m-coetzee,J. M. Coetzee,http://www.newyorker.com/magazine/2005/06/27/the-blow,The Blow,The Blow,J. M. Coetzee,http://www.newyorker.com/magazine/fiction/page/51
"June 6, 2005",http://www.newyorker.com/contributors/uwem-akpan,Uwem Akpan,http://www.newyorker.com/magazine/2005/06/13/an-ex-mas-feast,An Ex-Mas Feast,An Ex-Mas Feast,Uwem Akpan,http://www.newyorker.com/magazine/fiction/page/51
"May 30, 2005",,,http://www.newyorker.com/magazine/2005/06/06/a-mouthful-of-cut-glass,A Mouthful of Cut Glass,A Mouthful of Cut Glass,,http://www.newyorker.com/magazine/fiction/page/51
"May 23, 2005",http://www.newyorker.com/contributors/david-bezmozgis,David Bezmozgis,http://www.newyorker.com/magazine/2005/05/30/the-russian-riviera,The Russian Riviera,The Russian Riviera,David Bezmozgis,http://www.newyorker.com/magazine/fiction/page/51
"May 16, 2005",,,http://www.newyorker.com/magazine/2005/05/23/twos-company-2,Two’s Company,Two’s Company,,http://www.newyorker.com/magazine/fiction/page/51
"May 2, 2005",http://www.newyorker.com/contributors/nick-arvin,Nick Arvin,http://www.newyorker.com/magazine/2005/05/09/along-the-highways,Along the Highways,Along the Highways,Nick Arvin,http://www.newyorker.com/magazine/fiction/page/51
"April 25, 2005",http://www.newyorker.com/contributors/haruki-murakami,Haruki Murakami,http://www.newyorker.com/magazine/2005/05/02/where-im-likely-to-find-it,Where I’m Likely To Find It,Where I’m Likely To Find It,Haruki Murakami,http://www.newyorker.com/magazine/fiction/page/51
"April 11, 2005",http://www.newyorker.com/contributors/ludmila-ulitskaya,Ludmila Ulitskaya,http://www.newyorker.com/magazine/2005/04/18/the-orlov-sokolovs,The Orlov-Sokolovs,The Orlov-Sokolovs,Ludmila Ulitskaya,http://www.newyorker.com/magazine/fiction/page/51
"April 4, 2005",http://www.newyorker.com/contributors/mohammed-naseehu-ali,Mohammed Naseehu Ali,http://www.newyorker.com/magazine/2005/04/11/mallam-sile,Mallam Sile,Mallam Sile,Mohammed Naseehu Ali,http://www.newyorker.com/magazine/fiction/page/51
"March 28, 2005",http://www.newyorker.com/contributors/donald-antrim,Donald Antrim,http://www.newyorker.com/magazine/2005/04/04/solace-4,Solace,Solace,Donald Antrim,http://www.newyorker.com/magazine/fiction/page/51
"March 21, 2005",http://www.newyorker.com/contributors/david-gates,David Gates,http://www.newyorker.com/magazine/2005/03/28/a-secret-station,A Secret Station,A Secret Station,David Gates,http://www.newyorker.com/magazine/fiction/page/52
"March 14, 2005",http://www.newyorker.com/contributors/william-trevor,William Trevor,http://www.newyorker.com/magazine/2005/03/21/men-of-ireland,Men of Ireland,Men of Ireland,William Trevor,http://www.newyorker.com/magazine/fiction/page/52
"March 7, 2005",http://www.newyorker.com/contributors/anne-enright,Anne Enright,http://www.newyorker.com/magazine/2005/03/14/della,Della,Della,Anne Enright,http://www.newyorker.com/magazine/fiction/page/52
