author-link,author-link-href,title-link,title-link-href,text,pagination,pagination-href
"Sylvia Townsend Warner","http://www.newyorker.com/contributors/sylvia-townsend-warner","","","","Newer Entries","http://www.newyorker.com/magazine/fiction/page/749"
"","","Bow to the rising sun","http://www.newyorker.com/magazine/1943/06/12/bow-to-the-rising-sun","Miss Doris Butt, assistant to Mr. Caldecott, of the Long Twizzle, Dorsetshire Fuel Control Office, is leaving her employ. She is telling her successor what a sunshine she has been to the firm and the customers, what a loss it's going to be to the firm, her going - still, the King and country needed her.","Newer Entries","http://www.newyorker.com/magazine/fiction/page/749"
"","","Amo, Amas, Amat, Amamus, Amatis, Enough!","http://www.newyorker.com/magazine/1943/05/08/amo-amas-amat-amamus-amatis-enough","Truth is a wood violet that blooms in the least likely corner, and I found it in a couple of obscure pulp magazines called Gay Love Stories and Ideal Love... Excerpts and comment.","",""
"","","Something for a man in his forties","http://www.newyorker.com/magazine/1943/06/12/something-for-a-man-in-his-forties","Millie Sanders and her friend Elise Adams go shopping for a present for Mr. Sanders. Mrs. Sanders had received a bonus check for fifty dollars, which was the amount she planned to spend for the present. Arriving at the store, she saw a bag she liked and bought it for herself. That took twelve-fifty out of the fifty dollars. When the ladies finally found something they thought Mr. Sanders would like, the price of it was fifty. Mrs. Sanders paid a deposit, returned the bag, and paid for the present.","Newer Entries","http://www.newyorker.com/magazine/fiction/page/749"
"","","Well, Roll Me In A Turkish Towel!","http://www.newyorker.com/magazine/1943/06/19/well-roll-me-in-a-turkish-towel","Biography of an old sweatshirt inspired by reading the biography of a little sweater, made by the Irwill Knitting Corporation.","Newer Entries","http://www.newyorker.com/magazine/fiction/page/749"
"H. L. Mencken","http://www.newyorker.com/contributors/h-l-mencken","","","","Newer Entries","http://www.newyorker.com/magazine/fiction/page/749"
"Joseph Wechsberg","http://www.newyorker.com/contributors/joseph-wechsberg","","","","Newer Entries","http://www.newyorker.com/magazine/fiction/page/749"
"S. J. Perelman","http://www.newyorker.com/contributors/s-j-perelman","","","","Newer Entries","http://www.newyorker.com/magazine/fiction/page/749"
"","","Explosion of Professor Shoreham","http://www.newyorker.com/magazine/1943/05/22/explosion-of-professor-shoreham","Tells about the explosion of Professor Shoreham. The proprietor of the Gourmet Restaurant and Oyster Bar, Nick Popolus, could only tell the newspaperman that the explosion which wrecked his restaurant, was caused by Professor Shoreham who had exploded while having his lunch there.","",""
"John Cheever","http://www.newyorker.com/contributors/john-cheever","","","","",""
"","","The Pinch That Tickles","http://www.newyorker.com/magazine/1943/06/05/the-pinch-that-tickles","A charting of some of the notches which civilians have been asked to take in their belts during this war without causing anyone to feel the slightest pain.","Newer Entries","http://www.newyorker.com/magazine/fiction/page/749"
"John O'Hara","http://www.newyorker.com/contributors/john-ohara","","","","",""
