author-link,author-link-href,title-link,title-link-href,text,pagination,pagination-href
"","","Ghosts and Empties","http://www.newyorker.com/magazine/2015/07/20/ghosts-and-empties","There is one mostly windowless place in the neighborhood, a yellow brick monstrosity that I love nevertheless, because it houses nuns. There used to be six nuns there, but attrition happened, as it does with very old ladies, and now there are only three kindly sisters squeaking around that immense space in their sensible shoes. A Realtor friend told us that when it was built, in the nineteen-fifties, a bomb shelter was lowered into the porous limestone of the back yard, and during sleepless nights, when my body is in bed but my brain is still out walking in the dark, I like to imagine the nuns in full regalia in their shelter, singing hymns and spinning on a stationary bike to keep the light bulb sputtering on, while, aboveground, all has been blasted black and rusted hinges rasp the wind.","",""
"","","The Prospectors","http://www.newyorker.com/magazine/2015/06/08/the-prospectors","At the bar, a calliope of tiny glasses was waiting for me: honey and cherry and lemon. Flavored liquors, imported from Italy, the bartender smiled shyly. “Delicious!” I exclaimed, touching each to my lips. Clara, meanwhile, had been swept onto the dance floor. With her mauve lipstick in place and her glossy hair smoothed, she was shooting colors all around the room. Could you scare a dead boy with the vibrancy of your life? “Be careful,” I mouthed, motioning her into the shadows. Boys in green beanies kept sidling up to her, vying for her attention. It hurt my heart to see them trying. Of course, news of their own death had not reached them—how could that news get up the mountain, to where the workers were buried under snow?","Older Entries","http://www.newyorker.com/magazine/fiction/page/2"
"","","Reading Comprehension: Text No. 1","http://www.newyorker.com/magazine/2015/07/06/reading-comprehension-text-no-1","We didn’t have to take religion—the grade didn’t affect our averages—but getting out of it was a long bureaucratic process, and Mr. Segovia’s classes were really fun. He’d go on and on in an endless soliloquy about any subject but religion; his favorite, in fact, was sex, and the teachers at our school he wanted to have it with. Every class we’d do a quick round of confessions: each of us had to disclose a sin, and after listening to all forty-five—which ranged from I kept the change to I want to grab my neighbor’s tits and I jacked off during recess, always a classic—the teacher would tell us that none of our sins were unforgivable.","Older Entries","http://www.newyorker.com/magazine/fiction/page/2"
"","","The Apartment","http://www.newyorker.com/magazine/2015/08/31/the-apartment","She took the bottle with her back to the balcony and sat in the darkness. She was warm and didn’t need the blanket. The lights in Barbro Ekman’s apartment had been turned on. Through the curtains, she saw movement. She watched the windows closely. There were three, spaced evenly from one end of the building to the other. Kitchen, living room, bedroom. There was a bathroom and a small dining room on the other side of the apartment. She knew this because she’d once been inside, years before, to help Barbro Ekman move a painting from the hallway to the bedroom. Barbro Ekman had been dead for eight months. She was a young ghost. Louise watched the figure move from window to window, its dark shape heavy in the living room, where the light was brightest, faint in the bedroom.","",""
"","","My Curls Have Blown All the Way to China","http://www.newyorker.com/magazine/2015/09/21/my-curls-have-blown-all-the-way-to-china","After a while, I got up from the bench, stood in front of the black boulder, and read one by one the names of all the fallen Navy heroes, so young, just children, really, and each one with a mother—what’s my tragedy compared with their tragedy? And I thought about the fact that some of them probably died before they had ever touched a woman and what a pity, because now, in my new situation as an undependent woman, why not, I could put on a little Poison and so on, no problem, and every so often take fallen heroes to bed, to make them feel good and me, too, in the time I have left before the diseases set in and the grave.","",""
"","","The Republic of Bad Taste","http://www.newyorker.com/magazine/2015/06/08/the-republic-of-bad-taste","Worse thought: what if the fucker thought to bring a flashlight or routinely carried one on his bike?","Older Entries","http://www.newyorker.com/magazine/fiction/page/2"
"","","The Republic of Bad Taste","http://www.newyorker.com/magazine/2015/06/08/the-republic-of-bad-taste","He looked down at her legs, which were of a piece with the rest of her.","Older Entries","http://www.newyorker.com/magazine/fiction/page/2"
"","","These Short, Dark Days","http://www.newyorker.com/magazine/2015/08/24/these-short-dark-days","She went to the single window in the narrow kitchen. The courtyard below was full of shadow; looking down into it disheartened her in a way that she was unprepared for. She sat on the sill, lifted the twisted tea towel that had been left there. Outside, most of the facing windows were still dark, only a small light here and there: an early worker, a mother with an infant, a bedside vigil. Reluctantly, she cast her eyes down into the courtyard again. The sun would have to be well up in the sky to light that gloomy tangle, but, even at this hour, there was a variation in the shadows that caught her attention. It was the movement of birds, or of a stalking cat, or a patch of puddled rainwater briefly reflecting the coming dawn, but for just a moment she thought it was a man, crawling—“cowering” was the word—beneath the snarl of junk and dead leaves, the vague early light just catching the perspiration on his wide brow, the gleam of a tooth or an eye.","",""
"","","The Republic of Bad Taste","http://www.newyorker.com/magazine/2015/06/08/the-republic-of-bad-taste","“She’s a night nurse at the hospital.”","Older Entries","http://www.newyorker.com/magazine/fiction/page/2"
"","","Little Man","http://www.newyorker.com/magazine/2015/08/10/little-man","You leave, again without speaking. This time, though, it’s not for fear of embarrassment. This time it’s because you’re greedy and ashamed; it’s because you want the child, you need the child, and yet you can’t bear to be yourself at this moment; you can’t stand there any longer enjoying your mastery over her.","",""
"","","Chicken Hill","http://www.newyorker.com/magazine/2015/09/14/chicken-hill","She ate a bowl of cereal. The milk had gone bad. Sometimes the refrigerator took pride in keeping things cool and crisp and sometimes it didn’t seem to care.","",""
